LR,Heads,Embeddings,Block Size,Batch Size,Layers,Size,final_loss,total_training_time,Step 0 Loss,Step 100 Loss,Step 200 Loss,Step 300 Loss,Step 400 Loss,Generated Text
0.0006,2,128,128,32,6,"[4096, 86]",2.125612735748291,37.992321252822876,4.6093,2.5747,2.4696,2.3604,2.1898,"entaed nou caidhass ald, ybuts sanyepleelvele cn tooll cow\nskic elipff ontoo omthe toio hans angaied"
0.0006,2,128,32,48,2,"[1536, 86]",2.1975138187408447,17.909387588500977,4.6140,2.5931,2.3354,2.1848,2.0850,"if.\n3""We ch sma frerour bst.\n""Be creng of onon inele.""Yah Thermid, war."" Gortta turtta Pain, azer of"
0.0006,2,128,32,48,4,"[1536, 86]",1.9701042175292969,26.37288188934326,4.7396,2.5377,2.2712,2.1005,1.9760,"Che Arad, Yeachesalrs bes sist2\nANana\njuphothe poutioned was\nnot he maved ward your a !\n""Yelly ther"
0.0006,2,128,32,48,6,"[1536, 86]",1.992499828338623,34.92384910583496,4.6809,2.5207,2.2220,2.0387,1.9260,"ut, ""He their, at helps the deet on neir\nshe groome camey solin, youidding the the caft him\nsipplo,"
0.0006,2,128,64,48,2,"[3072, 86]",2.058093309402466,17.947020769119263,4.5760,2.6105,2.4476,2.2455,2.1026,"celp t\nhey ho. Grata weve ta speebe thoull and the cale fureaughimesed a thad\nars, ay mosto lon Bire"
0.0006,2,128,64,48,4,"[3072, 86]",1.985640525817871,24.80357551574707,4.5240,2.5623,2.4057,2.1806,2.0120,"hisy irs wistouts.""\n""I we thivest fit the toree stoment larny rethoun\nof bre an. Ar:in\nand you!""\n""Da"
0.0006,2,128,64,48,6,"[3072, 86]",1.9497065544128418,35.07062387466431,4.5598,2.5424,2.3276,2.0884,1.9229,"tarre cubsing freer\nonereldge!\nPeinanapt pas, and but and rat camf\nbughand the arin. We carttaringhe"
0.0006,2,128,128,48,2,"[6144, 86]",2.2020983695983887,18.81370711326599,4.5952,2.6210,2.5025,2.4025,2.2530,"ho nieredseeLfit the?"" his claups cKist. Gratheve offoGratthibe thad him ane hatt has\ncouk, anot m '"
0.0006,2,128,128,48,4,"[6144, 86]",2.1375882625579834,29.172107458114624,4.6242,2.5883,2.4817,2.3991,2.2386,"sesit thes."" Ta\npeans anle."" Tous wor, ectle fossumek an. Gratt biore taetat fooll ome ht aty yast a"
0.0006,2,128,128,48,6,"[6144, 86]",1.9806694984436035,40.70354175567627,4.6551,2.5652,2.4564,2.3081,2.0864,thise speate. I newn thell. Ho not do washentad\nth som chiegore the hime bile atee aidned kin anl an
0.0006,2,128,32,64,2,"[2048, 86]",1.9903173446655273,18.497824668884277,4.5395,2.5680,2.2784,2.1208,2.0117,"to to no had\nthe follow, ked usan and besa daOk. He\nthards. Grat Mugh, He cubuswor anst\nathe ody din"
0.0006,2,128,32,64,4,"[2048, 86]",1.893991231918335,26.833850383758545,4.6037,2.5225,2.2141,2.0412,1.9141,"thim.\nAf Gratta, leand cor nafwase doty rrechemplible d hum:.\nAl with jupordile momsed gzied nard.""\n"
0.0006,2,128,32,64,6,"[2048, 86]",1.9126166105270386,35.68158507347107,4.6935,2.4915,2.2064,2.0127,1.8870,"chief, et a enaid. Will he dey. They\ntrabarieck at orfaed in\nabure stop!\nSpouin quick. Gratta said\nh"
0.0006,2,128,64,64,2,"[4096, 86]",2.110149383544922,18.938390970230103,4.6832,2.6015,2.4082,2.1981,2.0579,FE Chir Tats hey cucous on rearsel oferopaces hae swerribe urst and and to ofownge thef thad sig cas
0.0006,2,128,64,64,4,"[4096, 86]",1.9466997385025024,28.217673778533936,4.6081,2.5463,2.3097,2.0956,1.9406,"Aslionsed fire Vice said hour fel.\nThas waull ye back. Md for spale soldidring ste.""\ny, triyour. Hit"
0.0006,2,128,64,64,6,"[4096, 86]",1.8660269975662231,38.42017579078674,4.6550,2.5368,2.2972,2.0416,1.8953,"piar!"" Hew the. Gratta dyeek py. They and laars ye\nwirus a looke wimnerss, the hus dacke hak and we"
0.0006,2,128,128,64,2,"[8192, 86]",2.130920886993408,22.99007821083069,4.6527,2.6190,2.4923,2.3842,2.1968,"s atuon!\n""Gid, inould tur he nomed ofg navereded fore woutthe wiexre fan les\nhe ced asthe a. Tavell"
0.0006,2,128,128,64,4,"[8192, 86]",2.0420610904693604,35.41052031517029,4.6308,2.5747,2.4549,2.3058,2.0988,"walleou pme tas and ovexf of for wif looke apenty as te andeeed tallacor\nfwith, to nce to cres.""\n""I"
0.0006,2,128,128,64,6,"[8192, 86]",2.0041234493255615,45.889976501464844,4.6352,2.5563,2.4384,2.2761,2.0491,"pa.""\nKiddd hid lout o ast. Turnect usin ce sfor, We ind Aha,\nthe fen. Arpadllowled Arph\nchadreare\nan"
0.0006,3,192,32,32,2,"[1024, 86]",1.9787938594818115,18.60086417198181,4.6148,2.5330,2.2536,2.1101,2.0117,"my.phats for. G he tuon to\nculoziniythis the be that oan gerid the smes ofir trodt. Thellangual'sk,"
0.0006,3,192,32,32,4,"[1024, 86]",1.9373265504837036,30.647648334503174,4.7088,2.4722,2.1976,2.0261,1.8999,"would oned werlalt mating the wothented Ve wearvand a che mome\ncaret ot you ceptch\nauick.\n""Mc chieni"
0.0006,3,192,32,32,6,"[1024, 86]",1.8385226726531982,42.573546409606934,4.5653,2.4716,2.1542,1.9845,1.8726,"side had the Too that Ao Pels fould be nodded caws Even's.\nAnayah rsoth were oves. Arphad gresadde,"
0.0006,3,192,64,32,2,"[2048, 86]",2.033435821533203,19.28019380569458,4.6218,2.5449,2.3417,2.1344,2.0153,"to befill jas isus ard kn ay. Grattarta carnir hung himed, ws cam42.\n""B“\nGeath ter ta ing com The ar"
0.0006,3,192,64,32,4,"[2048, 86]",1.9063469171524048,32.1458306312561,4.5738,2.5040,2.2602,2.0478,1.9093,"!"" Grattraoved Anayah whor hies dors\nand as splows at?""\n""Yougl as, bas\nondidgident plom the fret die"
0.0006,3,192,64,32,6,"[2048, 86]",1.8636014461517334,43.236263036727905,4.5764,2.4910,2.2541,2.0264,1.8705,"cabefor hish and in mage andend our withe wan. Lifim, he\nmoaush wiwned devild bach, andight, but int"
0.0006,3,192,128,32,2,"[4096, 86]",2.056124448776245,21.3098087310791,4.5965,2.5587,2.4627,2.3340,2.1288,"thEVArmils en cand ncey,""\nWhis moince rep.\n""If. IKRint The the yout ong cor ank knein't\nownentake cu"
0.0006,3,192,128,32,4,"[4096, 86]",1.980928659439087,34.206435441970825,4.6382,2.5257,2.4287,2.2263,2.0173,"Buch inis they wele and pas wey gainctaright airs.\n""I mance grat was sed min't agake min thuons\nriy,"
0.0006,3,192,128,32,6,"[4096, 86]",1.8766289949417114,47.29432225227356,4.6386,2.5111,2.3794,2.1637,1.9503,"""Whad ard werentand parear\nhood fucke.h in the Eve theing.\nGeral the tuong kna knon ammeuinge sure\no"
0.0006,3,192,32,48,2,"[1536, 86]",1.8700460195541382,20.725868463516235,4.5843,2.4708,2.1774,2.0307,1.9305,penttrof wxen toold leosculnibcond no to as you tu sacand alundied and siined\nwith a to in to aldins
0.0006,3,192,32,48,4,"[1536, 86]",1.9012843370437622,33.40327286720276,4.5494,2.4316,2.1178,1.9392,1.8336,"the tencupers, oashil in a him trebremy have. Butsts of give\nto and scromed.""\n""You allly."" He mavere"
0.0006,3,192,32,48,6,"[1536, 86]",1.8340673446655273,45.44488739967346,4.6803,2.4068,2.0944,1.9134,1.7966,"Aran it of Gratta gooked Gratta Awayah Pas and smalked your\nisfor!"" Anaftamal day moke the the of\nth"
0.0006,3,192,64,48,2,"[3072, 86]",1.9337471723556519,21.739248275756836,4.5881,2.5254,2.2742,2.0607,1.9371,thilight hat him gould and ast ared-enow low lazilaka th bed arackmos ead whs spred aws this gly.\nGr
0.0006,3,192,64,48,4,"[3072, 86]",1.7940387725830078,33.961419343948364,4.6027,2.4854,2.2109,1.9779,1.8312,"their, and fes worned fape!\nAread. Arphad, sed aland tisoned a grow and loke mifted fom the\nPyrrany?"
0.0006,3,192,64,48,6,"[3072, 86]",1.710486888885498,46.29439401626587,4.5358,2.4814,2.1697,1.9254,1.7718,"NEANBHE\nChaptef The rang one be a in mosew\nto het Triall seectes the sto thumpritestifny\nallo.""\nGrat"
0.0006,3,192,128,48,2,"[6144, 86]",2.0704355239868164,25.401941537857056,4.6800,2.5465,2.4377,2.2995,2.0854,"anoncome bef themper, an fat muldere they hame we whallavelned\ntred the ad taled an) to fooked th't."
0.0006,3,192,128,48,4,"[6144, 86]",1.884392261505127,40.02540349960327,4.6778,2.5233,2.4028,2.1479,1.9316,"Cyert herve tell ad aw."" The idelve hust lageguards\nthe was stamand ageors."" Grata his wexver as ist"
0.0006,3,192,128,48,6,"[6144, 86]",1.784981369972229,54.98299598693848,4.6238,2.5097,2.3471,2.0742,1.8583,triyah ald. It wap out with swelked do cam the of\nCoR Re outent filleblegate. Whe\nChiHAn BehieTHATr
0.0006,3,192,32,64,2,"[2048, 86]",1.86720609664917,22.832066535949707,4.6239,2.4525,2.1642,2.0005,1.8978,"und that\ntured amon the and was a haghiall, and his flalt dep a to hot hare as, thim, ""Pyran with an"
0.0006,3,192,32,64,4,"[2048, 86]",1.7536859512329102,35.50366973876953,4.6832,2.4102,2.0667,1.8982,1.7884,"be?""\nSEANGMcKAY\nCHAPTER AVTE, CHE DEG GEANS!""\nGeatta's core\nwas wobl.""\n22\nCEAY\nRUOI sits monestree a"
0.0006,3,192,32,64,6,"[2048, 86]",1.763039231300354,47.51388359069824,4.6581,2.3831,2.0489,1.8602,1.7474,"was nods is wend dong, but he somermee exp aseurest acher. Arphad wen\nYah prompling wither\nsome. ""Hi"
0.0006,3,192,64,64,2,"[4096, 86]",1.9146900177001953,24.325533390045166,4.6052,2.5128,2.2107,2.0109,1.8927,"gae. Glaid the with a9 The ubs sprou list the\nploternehat bechost the agbes borion,\narey matwoout ye"
0.0006,3,192,64,64,4,"[4096, 86]",1.7773997783660889,36.79832863807678,4.6226,2.4714,2.1540,1.9293,1.7833,gl's rivetimed the crmeay tapss repitior\nling of dung xtlatt Arphayah; tridg smome his from whe was
0.0006,3,192,64,64,6,"[4096, 86]",1.7496229410171509,49.18233942985535,4.6137,2.4596,2.1241,1.8844,1.7316,wo and that waughthers. Namal dikeft ho the gezitindere\nZechariys.\nArs frour the will you stued. Tha
0.0006,3,192,128,64,2,"[8192, 86]",2.006284236907959,30.211267709732056,4.6093,2.5416,2.4098,2.1802,1.9924,Chimwasendned we ent that. Gratta dome led he the warthe\ncans the Com wer shis iseving froinfithe Pi
0.0006,3,192,128,64,4,"[8192, 86]",1.8077501058578491,48.05488395690918,4.6274,2.5132,2.3534,2.0788,1.8701,"y trect was in able arrirrir. So mae\nthe catervenced ies faict prish ye suyeturt, as art hav\ntwepons"
0.0006,3,192,128,64,6,"[8192, 86]",1.7182815074920654,66.47039985656738,4.5374,2.4899,2.3163,2.0017,1.7895,"ANSF.""\nA for didgekel then To as havinnice, the brans to me dand\nwith\nnot any sempene of I!"" The Pyr"
0.0006,4,256,32,32,2,"[1024, 86]",1.8605682849884033,21.422399520874023,4.5337,2.4235,2.1496,1.9957,1.8915,"CHS\nVeld the und at pay."" Namalled hut an.\n""And oked the tow tent segol thed. It shor hell, tumilir."
0.0006,4,256,32,32,4,"[1024, 86]",1.8246864080429077,37.61711049079895,4.5891,2.4258,2.1066,1.9415,1.8399,theeked the calina. All shie cKac sow afe that\nfolourns ive now his what mie the\ntorearly spoice his
0.0006,4,256,32,32,6,"[1024, 86]",1.750884771347046,53.54633903503418,4.5592,2.3927,2.0906,1.9139,1.8081,"theing at hhe\nmove th mandies.\n""Hal fek havereen, he deed his ave. ""I weon Any milow, bat be if Grat"
0.0006,4,256,64,32,2,"[2048, 86]",1.9548122882843018,20.088844537734985,4.6059,2.4968,2.2222,2.0210,1.9001,"He had them tuw calls Nt dithes ars, anay to he pard\njumaed Nabore plans.\nGramatta sme. Heichad, n s"
0.0006,4,256,64,32,4,"[2048, 86]",1.7177702188491821,33.140074014663696,4.5380,2.4776,2.1649,1.9500,1.7990,"So naubt.""\nGoul neal theare this the I gothries up. ""I youning fillen to\n""I you, an yahe racess?ow a"
0.0006,4,256,64,32,6,"[2048, 86]",1.7504582405090332,47.65914249420166,4.6024,2.4654,2.1685,1.9265,1.7633,"43M%OEE;S.""\nPEAN, be smill mpely back one ck nolreage to stend\nbe dart, to as eapes witribling. If w"
0.0006,4,256,128,32,2,"[4096, 86]",1.8969274759292603,22.587032794952393,4.5882,2.5183,2.3759,2.1247,1.9702,"A hunad shad s son yests.?"" Weas athe by\nNaYes soy -int. Grath the the clenerace. He an iengnc\nbed.\n"
0.0006,4,256,128,32,4,"[4096, 86]",1.831834077835083,39.07614040374756,4.6826,2.5038,2.3756,2.1111,1.8951,"and bouter chbe mand so. Nal a withemal turesta sain.\nGratta sirly te horka, nopos and\naftled. The c"
0.0006,4,256,128,32,6,"[4096, 86]",1.735183596611023,51.1452271938324,4.6080,2.4870,2.3164,2.0108,1.8074,"2AN quetidit."" Gratta sowed.""\nGened insted fent foden int in to Grom backerach at\nAid an, ander the"
0.0006,4,256,32,48,2,"[1536, 86]",1.8606332540512085,15.846882820129395,4.5667,2.4007,2.1037,1.9376,1.8420,"the stusbet toook.""\nTaaka siare your mand will, and he sund had\nClags neart be his\nfor ampelliand hi"
0.0006,4,256,32,48,4,"[1536, 86]",1.7368078231811523,25.899292469024658,4.6650,2.3836,2.0346,1.8564,1.7456,"heneon tushim. What in you are a clabounhout\nthans, the cults for a note and dow of the but lant loo"
0.0006,4,256,32,48,6,"[1536, 86]",1.7520661354064941,36.459797620773315,4.7031,2.3592,2.0136,1.8303,1.7036,"I thake pare by sound till feathathed, will intany his his faiter a guato compan\nhe clund ast boody"
0.0006,4,256,64,48,2,"[3072, 86]",1.8431510925292969,16.642526865005493,4.6349,2.4842,2.1405,1.9570,1.8374,allight. It und pawas bothen aid at comppe samand to yre\nhe nrelted pass ared. Emare forey\nsphard an
0.0006,4,256,64,48,4,"[3072, 86]",1.6660975217819214,29.009469509124756,4.6073,2.4288,2.0724,1.8421,1.7114,"Gratta let had leary, aske yough Gratta's to the\nTheir surn0\n7370\nSEAMcKAY\n• KAN McKAY\nCLASALL McKAT"
0.0006,4,256,64,48,6,"[3072, 86]",1.6909993886947632,38.642571210861206,4.5681,2.4329,2.0660,1.8240,1.6675,"Ekinaly postut to ther the had frourl fir the tescity\nfrom compenatial queity."" Anayah my iffell the"
0.0006,4,256,128,48,2,"[6144, 86]",1.8345204591751099,23.950019359588623,4.6196,2.5092,2.3612,2.0773,1.8949,"on smeat. ""Wuched the whys them gribor and him."" The\nloweriker, their werigh tir, fat frour args the"
0.0006,4,256,128,48,4,"[6144, 86]",1.7575182914733887,41.55134439468384,4.6770,2.4840,2.2817,1.9710,1.7807,"The rack theeif stood ban Tuon gain is I now, Not Chief\nAr can, weltered, hief yourna/ as and lis fo"
0.0006,4,256,128,48,6,"[6144, 86]",1.6843746900558472,64.72771072387695,4.6963,2.4743,2.2702,1.9311,1.7216,"anded, leee but in hiedh afend Sour\nagazing qup the humans.\nArdsed rand as mors the forte.\n""Srome up"
0.0006,4,256,32,64,2,"[2048, 86]",1.714148759841919,23.592642545700073,4.6202,2.3625,2.0662,1.9036,1.7962,"beed sa do's any him hand aspopout befacterhy in a\nvoleaty the sminerniuted a\ndaree, scabs wait the"
0.0006,4,256,32,64,4,"[2048, 86]",1.5796797275543213,36.210946798324585,4.6585,2.3232,1.9895,1.8101,1.6975,"""Soing that for fiblany tritake. Canced and solding\ntwo not groundded Ga solvor to from as would the"
0.0006,4,256,32,64,6,"[2048, 86]",1.709262728691101,57.60591959953308,4.5600,2.3150,1.9604,1.7779,1.6664,"nest her of alon for om his. His who Rluing of that him stozet of the the mas smell.\nBears,\nwit osh"
0.0006,4,256,64,64,2,"[4096, 86]",1.7155141830444336,21.134145736694336,4.5794,2.4409,2.0899,1.8972,1.7665,trenter tearionsiffor. Hise uped to mist iff Toriyah\nbeire\njoutteresterstoung fing follegive b9\nPele
0.0006,4,256,64,64,4,"[4096, 86]",1.698898434638977,32.726402044296265,4.6416,2.4000,2.0259,1.8066,1.6607,"6""\nSEAN. Theas eyes ha“ frill,\nsommany the sones helirs Arayah the faif thelp\ntors baths befoll ind"
0.0006,4,256,64,64,6,"[4096, 86]",1.6533524990081787,46.45985174179077,4.6150,2.3973,1.9854,1.7524,1.6072,"morthey under oner. ""My your is Why illane?\nBuon fam a light tuon he rest, what them after to\nfeasur"
0.0006,4,256,128,64,2,"[8192, 86]",1.8167001008987427,29.15164279937744,4.5776,2.5006,2.3240,2.0271,1.8513,"Mymes stail and ablinh smillie."" I was there from lood the\n""Grall Aiddescolled simed and. Tharound.\n"
0.0006,4,256,128,64,4,"[8192, 86]",1.702471375465393,50.806976556777954,4.5911,2.4728,2.2501,1.9335,1.7341,Arthe snight thes'st west samen ent.\nGeneral wou relliefored the was nexon yes aving Prhana\npeot has
0.0006,4,256,128,64,6,"[8192, 86]",1.6056791543960571,75.28528928756714,4.6000,2.4685,2.1928,1.8629,1.6599,"they to ta ran thesthrought in to care, ""The many it of\ndsaysecernotered thelp youred.""\n“Anart, will"
0.0006,6,384,32,32,2,"[1024, 86]",1.8676018714904785,18.67746090888977,4.6231,2.3520,2.0569,1.9209,1.8277,"dermaeys.L for ood wortath him the Pyring as didsing saddews rouidessling the cubs,\nand ationned.. I"
0.0006,6,384,32,32,4,"[1024, 86]",1.6835538148880005,33.43128943443298,4.6407,2.3258,2.0218,1.8675,1.7376,"of the guard sling his raE Thas will you\nthe warrie"" carse. If the criords ah raeby\nound the Tne tuo"
0.0006,6,384,32,32,6,"[1024, 86]",1.7939934730529785,48.28667092323303,4.6183,2.3337,2.0230,1.8540,1.7445,"CEAN OF McKAY\nA551ED. The worihe a from Live king of chis. He dares, of the on grow non\nslang."" ""A s"
0.0006,6,384,64,32,2,"[2048, 86]",1.6829555034637451,19.7038676738739,4.6024,2.4237,2.0677,1.8847,1.7825,"gaiew. I joy wormight, be foods wans werert at Tuont Cort said, It lang they mome\nThriess\nriere the"
0.0006,6,384,64,32,4,"[2048, 86]",1.620497226715088,35.28147339820862,4.6201,2.3984,2.0316,1.8151,1.6815,"nat the of the them. Gratta a leftly2hes with ne the Ne Arphad\ncrow wain\nyou. We wildins, and quir f"
0.0006,6,384,64,32,6,"[2048, 86]",1.5613112449645996,50.28531813621521,4.5780,2.4190,2.0196,1.8101,1.6542,"sking..""\n""We the he wight aboughed they humanss, the seen ace\nshroff, werpw swidgon saps. Gratta as"
0.0006,6,384,128,32,2,"[4096, 86]",1.7903316020965576,27.357997179031372,4.6170,2.4774,2.2704,1.9630,1.8041,"Eve beargace; maysay in,\n""Slow You in cant me omer fornicith and dond yoursed him.\n""Mon tom buzit. N"
0.0006,6,384,128,32,4,"[4096, 86]",1.6257306337356567,51.734778881073,4.6988,2.4663,2.1971,1.8940,1.6921,"HE KAYMk loook Ta's If that – have pasoong of thrun you\nences uplow, the ge whare and of cil and dri"
